latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.04265,-73.14084,307.09,0.47,0.48,2024-07-03,06:18,N21,nominal,2.0NRT,288.18,1.36,N
45.83786,-73.24822,299.96,0.48,0.48,2024-07-03,06:18,N21,nominal,2.0NRT,277.02,1.35,N
45.82122,-73.26314,299.03,0.48,0.48,2024-07-03,06:18,N21,nominal,2.0NRT,278.79,1.03,N
45.62172,-71.60447,297.49,0.4,0.44,2024-07-03,06:18,N21,nominal,2.0NRT,284.95,0.84,N
45.33887,-73.52262,302.97,0.48,0.48,2024-07-03,06:18,N21,nominal,2.0NRT,288.35,1.64,N
45.33994,-73.52292,302.08,0.48,0.48,2024-07-03,06:18,N21,nominal,2.0NRT,288.21,1.26,N
45.27887,-66.01406,304.49,0.39,0.36,2024-07-03,06:18,N21,nominal,2.0NRT,290.87,2.09,N
43.06841,-80.85935,297.66,0.55,0.68,2024-07-03,06:20,N21,nominal,2.0NRT,286.14,0.93,N
40.4803,-74.32289,309.45,0.47,0.48,2024-07-03,06:20,N21,nominal,2.0NRT,288.98,1.6,N
40.9218,-83.39132,297.54,0.72,0.76,2024-07-03,06:20,N21,nominal,2.0NRT,276.34,0.82,N
40.9207,-83.39381,300.48,0.72,0.76,2024-07-03,06:20,N21,nominal,2.0NRT,276.46,1.1,N
40.6362,-74.21806,305.25,0.47,0.47,2024-07-03,06:20,N21,nominal,2.0NRT,291.87,1.98,N
40.63667,-74.22357,309.24,0.47,0.47,2024-07-03,06:20,N21,nominal,2.0NRT,293.73,1.98,N
40.88966,-77.7086,310,0.36,0.57,2024-07-03,06:20,N21,nominal,2.0NRT,288.82,1.78,N
40.88989,-77.71292,313.03,0.36,0.57,2024-07-03,06:20,N21,nominal,2.0NRT,288.82,1.78,N
41.30493,-82.16756,296.08,0.63,0.72,2024-07-03,06:20,N21,nominal,2.0NRT,281.56,0.28,N
41.45353,-81.6773,322.01,0.59,0.7,2024-07-03,06:20,N21,nominal,2.0NRT,289.02,4.15,N
41.46,-81.67722,320.76,0.59,0.7,2024-07-03,06:20,N21,nominal,2.0NRT,289.25,4.56,N
41.56861,-84.04832,322.38,0.79,0.78,2024-07-03,06:20,N21,nominal,2.0NRT,288.38,7.41,N
41.75182,-81.2853,300.48,0.56,0.69,2024-07-03,06:20,N21,nominal,2.0NRT,288.88,0.81,N
42.28452,-83.11153,302.24,0.71,0.75,2024-07-03,06:20,N21,nominal,2.0NRT,284.11,3.46,N
42.75439,-72.37318,295.91,0.4,0.44,2024-07-03,06:20,N21,nominal,2.0NRT,284.7,0.3,N
36.36278,-77.86308,314.13,0.33,0.55,2024-07-03,06:20,N21,nominal,2.0NRT,288.77,1.34,N
36.93341,-78.32433,305.29,0.36,0.57,2024-07-03,06:20,N21,nominal,2.0NRT,286.42,0.92,N
37.23197,-82.04002,302.14,0.58,0.7,2024-07-03,06:20,N21,nominal,2.0NRT,287.86,1.87,N
37.23317,-82.04047,302.22,0.58,0.7,2024-07-03,06:20,N21,nominal,2.0NRT,288.31,1.11,N
38.74418,-82.37424,312,0.62,0.72,2024-07-03,06:20,N21,nominal,2.0NRT,287.55,4.2,N
