latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.61393,-74.7038,302.74,0.39,0.36,2024-07-17,06:57,N21,nominal,2.0NRT,291.64,0.69,N
45.33802,-73.52328,308.28,0.38,0.36,2024-07-17,06:57,N21,nominal,2.0NRT,292.21,0.95,N
46.73022,-92.07648,306.37,0.68,0.74,2024-07-17,06:57,N21,nominal,2.0NRT,283.62,1.93,N
48.25296,-79.02493,304.95,0.52,0.42,2024-07-17,06:57,N21,nominal,2.0NRT,286.7,1.05,N
47.80465,-80.08865,311.33,0.57,0.43,2024-07-17,06:57,N21,nominal,2.0NRT,285.82,2.14,N
46.3693,-72.38953,301.09,0.39,0.36,2024-07-17,06:57,N21,nominal,2.0NRT,290.33,0.62,N
46.52031,-84.3823,329.51,0.58,0.52,2024-07-17,06:57,N21,nominal,2.0NRT,286.04,3.88,N
46.52076,-84.38984,317.49,0.58,0.52,2024-07-17,06:57,N21,nominal,2.0NRT,285.3,3.88,N
46.51984,-84.37472,311.77,0.58,0.52,2024-07-17,06:57,N21,nominal,2.0NRT,287.47,2.46,N
46.51641,-84.3979,313.23,0.58,0.52,2024-07-17,06:57,N21,nominal,2.0NRT,285.83,4.2,N
48.42362,-71.17484,302.94,0.39,0.36,2024-07-17,06:57,N21,nominal,2.0NRT,289.47,0.74,N
46.51505,-84.37537,297.82,0.58,0.52,2024-07-17,06:57,N21,nominal,2.0NRT,286.94,2.46,N
45.11272,-73.00867,300.62,0.39,0.36,2024-07-17,06:57,N21,nominal,2.0NRT,290.27,0.71,N
45.30466,-74.99187,310.92,0.39,0.36,2024-07-17,06:57,N21,nominal,2.0NRT,290.3,1.27,N
45.07032,-83.40881,298.36,0.5,0.49,2024-07-17,06:57,N21,nominal,2.0NRT,282.98,1.89,N
45.06985,-83.40243,306.36,0.5,0.49,2024-07-17,06:57,N21,nominal,2.0NRT,282.59,1.89,N
43.86583,-79.50156,299.15,0.49,0.4,2024-07-17,06:57,N21,nominal,2.0NRT,288.62,0.43,N
44.195,-88.50793,296.59,0.44,0.63,2024-07-17,06:57,N21,nominal,2.0NRT,285.83,0.34,N
46.04273,-73.14299,321.33,0.39,0.36,2024-07-17,06:57,N21,nominal,2.0NRT,292.02,2.29,N
45.61909,-71.60719,303.37,0.4,0.37,2024-07-17,06:57,N21,nominal,2.0NRT,289.49,0.72,N
46.47837,-81.04084,327.21,0.4,0.44,2024-07-17,06:57,N21,nominal,2.0NRT,288.68,5.15,N
46.4779,-81.03563,336.56,0.4,0.44,2024-07-17,06:57,N21,nominal,2.0NRT,288.59,5.28,N
42.49684,-73.81408,307.44,0.39,0.36,2024-07-17,06:57,N21,nominal,2.0NRT,292.62,1.03,N
42.92045,-76.83598,313.24,0.4,0.37,2024-07-17,06:57,N21,nominal,2.0NRT,290.83,1.19,N
38.60041,-82.82629,304.46,0.4,0.44,2024-07-17,06:59,N21,nominal,2.0NRT,288.92,1.09,N
39.32726,-80.55952,313.27,0.48,0.4,2024-07-17,06:59,N21,nominal,2.0NRT,289.17,1.58,N
39.92089,-87.44589,305.78,0.36,0.57,2024-07-17,06:59,N21,nominal,2.0NRT,288.09,1.12,N
39.92112,-87.4501,302.51,0.36,0.57,2024-07-17,06:59,N21,nominal,2.0NRT,287.16,1,N
39.97523,-86.83147,297.86,0.33,0.56,2024-07-17,06:59,N21,nominal,2.0NRT,284.2,1.34,N
39.97547,-86.83544,316.22,0.34,0.56,2024-07-17,06:59,N21,nominal,2.0NRT,283.98,2.56,N
39.97571,-86.83938,322.59,0.34,0.56,2024-07-17,06:59,N21,nominal,2.0NRT,282.92,2.56,N
39.73323,-82.15073,304.87,0.57,0.43,2024-07-17,06:59,N21,nominal,2.0NRT,289.82,1.73,N
39.4778,-79.06622,301.09,0.43,0.38,2024-07-17,06:59,N21,nominal,2.0NRT,290.31,0.55,N
40.12908,-79.58465,299.76,0.45,0.39,2024-07-17,06:59,N21,nominal,2.0NRT,288.23,0.55,N
40.31124,-80.60487,314.08,0.49,0.41,2024-07-17,06:59,N21,nominal,2.0NRT,289.28,5.38,N
40.3119,-80.61064,328.95,0.49,0.41,2024-07-17,06:59,N21,nominal,2.0NRT,289.16,5.38,N
40.30462,-79.87775,298.13,0.46,0.39,2024-07-17,06:59,N21,nominal,2.0NRT,286.54,2.04,N
41.27351,-92.95527,296.86,0.73,0.76,2024-07-17,06:59,N21,nominal,2.0NRT,284.86,1.47,N
41.27204,-92.94944,300.98,0.73,0.76,2024-07-17,06:59,N21,nominal,2.0NRT,285.05,2.23,N
41.26364,-88.63168,304.38,0.43,0.62,2024-07-17,06:59,N21,nominal,2.0NRT,291.58,6.14,N
41.47678,-90.83315,319.98,0.56,0.69,2024-07-17,06:59,N21,nominal,2.0NRT,285.13,2.43,N
41.48297,-90.82613,313.6,0.56,0.69,2024-07-17,06:59,N21,nominal,2.0NRT,285.98,2.22,N
41.47939,-90.83392,325.24,0.56,0.69,2024-07-17,06:59,N21,nominal,2.0NRT,285.39,4.01,N
41.48561,-90.827,314.18,0.56,0.69,2024-07-17,06:59,N21,nominal,2.0NRT,285.91,2.24,N
40.37273,-75.94161,303.12,0.38,0.36,2024-07-17,06:59,N21,nominal,2.0NRT,290.15,0.53,N
40.66877,-76.38081,313.26,0.39,0.36,2024-07-17,06:59,N21,nominal,2.0NRT,290.59,1.37,N
41.21704,-80.51333,311.78,0.5,0.41,2024-07-17,06:59,N21,nominal,2.0NRT,290.97,1.5,N
41.21817,-80.51231,314.29,0.5,0.41,2024-07-17,06:59,N21,nominal,2.0NRT,291.14,2.44,N
40.89063,-77.71028,330.2,0.4,0.37,2024-07-17,06:59,N21,nominal,2.0NRT,293.58,4.15,N
40.47986,-74.32095,303.31,0.39,0.36,2024-07-17,06:59,N21,nominal,2.0NRT,276.98,0.41,N
40.48063,-74.3255,296.22,0.39,0.36,2024-07-17,06:59,N21,nominal,2.0NRT,276.1,0.41,N
40.71462,-75.39584,305.13,0.38,0.36,2024-07-17,06:59,N21,nominal,2.0NRT,291.83,1.36,N
40.74991,-75.27154,297.23,0.38,0.36,2024-07-17,06:59,N21,nominal,2.0NRT,280.52,0.35,N
41.28433,-78.64127,301.9,0.43,0.38,2024-07-17,06:59,N21,nominal,2.0NRT,289.48,0.57,N
40.62607,-74.20911,300.57,0.39,0.36,2024-07-17,06:59,N21,nominal,2.0NRT,284.39,0.59,N
33.30026,-92.61874,312.72,0.63,0.72,2024-07-17,06:59,N21,nominal,2.0NRT,293.37,3.59,N
33.30217,-92.61874,318.25,0.63,0.72,2024-07-17,06:59,N21,nominal,2.0NRT,293.6,3.55,N
31.87255,-81.85194,303.95,0.45,0.39,2024-07-17,06:59,N21,nominal,2.0NRT,292.28,0.54,N
32.39909,-89.48045,302.51,0.4,0.6,2024-07-17,06:59,N21,nominal,2.0NRT,289.42,1.39,N
