latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.00678,-66.65698,307.28,0.42,0.38,2024-06-24,05:53,N21,nominal,2.0NRT,294.58,1.49,N
49.04821,-76.98098,311.44,0.42,0.38,2024-06-24,07:26,N21,nominal,2.0NRT,279.03,1.8,N
48.25311,-79.02054,300.23,0.39,0.36,2024-06-24,07:26,N21,nominal,2.0NRT,286.97,0.78,N
48.85487,-67.13924,310.42,0.33,0.55,2024-06-24,07:26,N21,nominal,2.0NRT,268.73,0.13,N
36.26537,-93.94105,307.51,0.56,0.51,2024-06-24,07:29,N21,nominal,2.0NRT,293.05,1.36,N
40.93202,-88.6562,302.58,0.51,0.41,2024-06-24,07:29,N21,nominal,2.0NRT,289.9,0.86,N
40.73322,-86.43563,316.19,0.42,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,290.86,1.83,N
40.18027,-82.51628,301.88,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,288.83,0.28,N
40.92708,-87.34319,300.49,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,289.88,0.81,N
41.36875,-91.11506,304.15,0.45,0.47,2024-06-24,07:29,N21,nominal,2.0NRT,290.27,0.9,N
39.43499,-77.97712,302.71,0.55,0.43,2024-06-24,07:29,N21,nominal,2.0NRT,290.37,1.12,N
41.46338,-90.68693,307.52,0.43,0.46,2024-06-24,07:29,N21,nominal,2.0NRT,291.7,1.47,N
41.48105,-90.83473,316.72,0.43,0.46,2024-06-24,07:29,N21,nominal,2.0NRT,289.71,3.76,N
41.48058,-90.82954,328.83,0.43,0.46,2024-06-24,07:29,N21,nominal,2.0NRT,290.84,3.76,N
41.48432,-90.82372,304.62,0.43,0.46,2024-06-24,07:29,N21,nominal,2.0NRT,290.99,2.43,N
40.72113,-84.12524,303.28,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,291.16,0.98,N
41.41481,-88.18612,304.35,0.49,0.4,2024-06-24,07:29,N21,nominal,2.0NRT,293.78,2.69,N
40.30931,-80.60662,328.31,0.43,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,292.32,5.23,N
40.31271,-80.60554,318.57,0.43,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,291.9,2.75,N
40.31362,-80.61047,303.37,0.43,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,290.73,0.99,N
40.12783,-79.58549,300.25,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,288.81,0.63,N
41.11859,-85.34914,300.55,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.02,1.06,N
41.11926,-85.35387,311.46,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,288.9,1.28,N
41.12061,-85.35131,320.53,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.94,2.34,N
40.79684,-82.53122,300.1,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,288.92,0.8,N
41.64568,-88.05311,304.15,0.49,0.4,2024-06-24,07:29,N21,nominal,2.0NRT,293.44,1.62,N
40.40443,-79.79691,300.41,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,288.8,1.09,N
41.61331,-87.32981,322.72,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,292.25,5.16,N
41.61688,-87.32905,343.91,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,293.38,5.16,N
41.62242,-87.34476,307.5,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,290.29,0.71,N
41.62503,-87.36671,308.87,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,290.25,1.91,N
40.7544,-81.43839,319.49,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.39,2.1,N
41.62534,-87.33853,299.95,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,289.94,0.71,N
41.62861,-87.36596,316.58,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,292.02,1.91,N
41.62927,-87.37145,314.21,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,290.86,2.65,N
40.7569,-81.4327,314.62,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.28,1.63,N
41.64102,-87.40846,328.79,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,292.72,4.66,N
41.62375,-87.14373,301.46,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,289.37,0.64,N
46.48965,-81.03314,305.29,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,283.38,1.28,N
47.27209,-92.20724,308.38,0.58,0.52,2024-06-24,07:29,N21,nominal,2.0NRT,283.84,2.32,N
46.52264,-84.37418,308.78,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.02,1.4,N
46.52193,-84.3688,299.32,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,284.4,1.39,N
47.27269,-92.20588,303.54,0.58,0.52,2024-06-24,07:29,N21,nominal,2.0NRT,283.94,1.62,N
46.51995,-84.38051,318.93,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,286.18,1.4,N
46.51924,-84.37512,297.81,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,286.15,1.4,N
46.51455,-84.39311,300.11,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,285.77,0.77,N
46.73052,-92.08016,301.03,0.57,0.52,2024-06-24,07:29,N21,nominal,2.0NRT,279.1,1.33,N
46.73011,-92.07965,301.44,0.57,0.52,2024-06-24,07:29,N21,nominal,2.0NRT,278.46,1.12,N
45.69304,-91.83733,296.68,0.54,0.51,2024-06-24,07:29,N21,nominal,2.0NRT,285.53,0.37,N
43.85726,-78.90984,304.59,0.43,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,287.57,1.03,N
43.86372,-79.50035,299.02,0.42,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,285.53,0.5,N
42.49796,-73.81735,301.56,0.5,0.49,2024-06-24,07:29,N21,nominal,2.0NRT,287.48,0.78,N
43.59517,-79.69084,296.73,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,285.84,0.21,N
43.49017,-79.62495,304.3,0.42,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,287.58,1.07,N
43.27304,-79.80197,322.65,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.27,2.42,N
43.27213,-79.79694,328.88,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.32,4.16,N
42.0492,-73.97569,310.59,0.5,0.49,2024-06-24,07:29,N21,nominal,2.0NRT,289.72,2.19,N
43.2706,-79.80817,305.5,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,288.71,1.3,N
43.26968,-79.80313,303.98,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,288.05,1.3,N
43.26724,-79.80931,310.48,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.14,1.3,N
43.26633,-79.80428,317.16,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,288.78,1.3,N
43.26389,-79.81046,316.86,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.56,1.14,N
43.26297,-79.80544,302.05,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.91,1.14,N
43.2593,-79.78535,298.97,0.42,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,287.78,0.75,N
43.29236,-79.98704,310.02,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.97,0.92,N
43.26053,-79.81162,307.84,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,288.54,1.14,N
43.25961,-79.80661,308.34,0.42,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.96,1.14,N
44.16841,-87.70188,297.62,0.5,0.41,2024-06-24,07:29,N21,nominal,2.0NRT,286.09,0.73,N
43.06999,-80.85714,299.53,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,286.13,0.83,N
42.81276,-80.09351,312.66,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.59,2.47,N
42.81032,-80.09959,298.57,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,286.18,1.51,N
42.80941,-80.09463,304.69,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.22,1.51,N
42.80606,-80.09576,325.44,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,288.92,1.51,N
42.80697,-80.10071,314.83,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.77,1.51,N
42.80271,-80.09688,310.91,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.35,2.24,N
42.80026,-80.10296,322.65,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,288.8,2.24,N
42.80019,-80.10446,307.99,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,287.55,1.02,N
42.87626,-81.22739,296.78,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,285.4,0.45,N
42.9669,-81.8708,307.52,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,280.11,1.26,N
42.81696,-81.3257,315.6,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,286.02,1.36,N
43.70233,-88.38302,303.91,0.53,0.42,2024-06-24,07:29,N21,nominal,2.0NRT,287.77,1.47,N
42.81981,-85.99913,313.21,0.43,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,287.84,1.37,N
41.39068,-79.28322,297.24,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,286.3,0.53,N
40.8928,-77.71287,307.93,0.53,0.42,2024-06-24,07:29,N21,nominal,2.0NRT,288.96,1.04,N
40.89296,-77.7072,305.86,0.53,0.42,2024-06-24,07:29,N21,nominal,2.0NRT,289.15,1.78,N
41.89228,-83.35932,318.67,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,290.22,1.6,N
41.89157,-83.35476,315.49,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,290.97,1.6,N
42.4787,-87.88652,299.51,0.49,0.4,2024-06-24,07:29,N21,nominal,2.0NRT,286.81,0.61,N
41.46797,-81.68333,311.71,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,289.03,1.46,N
41.46309,-81.67503,331.77,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,290.64,3.78,N
41.7327,-83.51968,301.15,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,288.09,0.34,N
41.6782,-83.45631,304.79,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,291.35,0.87,N
41.6775,-83.45176,303.42,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,291.98,1.04,N
42.65457,-93.93191,300.5,0.32,0.55,2024-06-24,07:29,N21,nominal,2.0NRT,289.24,0.32,N
40.99803,-80.51967,315.84,0.42,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,288.33,1.96,N
40.99896,-80.5213,310.48,0.42,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,287.75,0.96,N
40.99558,-80.5224,301.95,0.42,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,287.37,0.96,N
41.46931,-83.36771,323.68,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,290.53,1.71,N
41.56661,-84.0472,328.22,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,291.94,3.92,N
41.56798,-84.05635,310.13,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,289.96,1.91,N
41.56592,-84.04263,299.72,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,288.8,3.92,N
41.45882,-83.36588,321.35,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,290.97,2.26,N
40.79525,-79.70007,303.09,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,288.57,0.88,N
42.14151,-89.07917,306.57,0.55,0.42,2024-06-24,07:29,N21,nominal,2.0NRT,289.05,1.29,N
40.67229,-80.33684,305.69,0.43,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,289.1,1.23,N
39.93798,-76.81367,306.09,0.41,0.45,2024-06-24,07:29,N21,nominal,2.0NRT,291.5,0.71,N
41.36995,-84.91522,305.64,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,290.21,1.21,N
41.3673,-84.92072,331.62,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,290.08,7.53,N
41.68379,-87.42776,308.49,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,290.71,1.28,N
41.68312,-87.42222,303.72,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,292.23,1.22,N
41.68246,-87.41669,308.62,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,292.68,1.22,N
40.63948,-80.5429,299.45,0.43,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,288.51,0.25,N
41.67887,-87.41744,318.09,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,295.67,3.68,N
41.67728,-87.43481,327.7,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,291.65,4.92,N
41.64149,-87.13994,331.51,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,294.2,8.72,N
41.64083,-87.13453,323.62,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,292.79,8.72,N
41.63794,-87.14067,340.22,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,293.56,3.23,N
41.63728,-87.13528,317.49,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,291.38,3.23,N
41.63662,-87.12989,319.93,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,291.02,3.43,N
41.67341,-87.46401,314.3,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,290.96,2.17,N
41.67274,-87.45846,305.62,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,290.9,1.28,N
41.67208,-87.4529,313.36,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,291.53,1.28,N
41.63439,-87.14144,309.08,0.45,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,291.47,3.23,N
41.6718,-87.48141,303.18,0.47,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,292,1.63,N
41.66518,-87.42599,316.19,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,291.3,1.25,N
41.66452,-87.42048,301.37,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,290.93,1.25,N
41.66159,-87.42675,304.18,0.46,0.39,2024-06-24,07:29,N21,nominal,2.0NRT,290.89,1.25,N
36.23728,-95.28719,304.12,0.33,0.55,2024-06-24,07:29,N21,nominal,2.0NRT,293.99,1.39,N
35.61665,-89.37942,299.61,0.48,0.4,2024-06-24,07:29,N21,nominal,2.0NRT,282.45,1.19,N
35.64812,-89.93593,326.06,0.51,0.41,2024-06-24,07:29,N21,nominal,2.0NRT,280.74,3.4,N
35.79598,-91.74801,306.91,0.42,0.45,2024-06-24,07:29,N21,nominal,2.0NRT,293.09,1.45,N
35.79552,-91.74342,306.35,0.42,0.45,2024-06-24,07:29,N21,nominal,2.0NRT,293.4,1.45,N
34.94123,-85.70206,310.17,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,293.95,1.06,N
34.87571,-88.42569,315.04,0.43,0.38,2024-06-24,07:29,N21,nominal,2.0NRT,294.93,1.03,N
35.40942,-93.77556,310.66,0.53,0.5,2024-06-24,07:29,N21,nominal,2.0NRT,295.26,1.64,N
35.04639,-90.16296,311.59,0.51,0.41,2024-06-24,07:29,N21,nominal,2.0NRT,295.87,2.23,N
34.63917,-87.08378,329.28,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,295.29,3.76,N
34.64039,-87.09238,313.56,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,294.36,2.41,N
33.01228,-79.88503,309.5,0.4,0.44,2024-06-24,07:29,N21,nominal,2.0NRT,281.17,0.93,N
37.89423,-86.68722,304.14,0.41,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,293.58,0.69,N
37.38505,-83.64313,327.25,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,291.89,2,N
37.38433,-83.63881,302.03,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,291.72,1.58,N
37.38177,-83.64398,305.19,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,291.81,0.48,N
38.00831,-90.07967,317.38,0.55,0.42,2024-06-24,07:29,N21,nominal,2.0NRT,294.27,3.02,N
37.96881,-90.0799,313.51,0.55,0.42,2024-06-24,07:29,N21,nominal,2.0NRT,292.95,2.1,N
36.80362,-83.05973,303.7,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,291.79,1.1,N
36.80286,-83.05532,310.41,0.4,0.37,2024-06-24,07:29,N21,nominal,2.0NRT,291.81,1.45,N
36.97021,-84.58676,307.35,0.38,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,293.05,0.76,N
36.87827,-85.65646,306.08,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,292.59,0.76,N
37.79035,-96.87453,307.73,0.42,0.61,2024-06-24,07:29,N21,nominal,2.0NRT,296.83,2.65,N
37.78508,-97.34448,367,0.45,0.63,2024-06-24,07:29,N21,high,2.0NRT,300.14,31.53,N
37.73741,-97.72804,305.23,0.47,0.64,2024-06-24,07:29,N21,nominal,2.0NRT,293.95,1.36,N
37.73333,-97.73215,304.82,0.47,0.64,2024-06-24,07:29,N21,nominal,2.0NRT,294.26,0.77,N
37.73309,-97.72682,304.72,0.47,0.64,2024-06-24,07:29,N21,nominal,2.0NRT,294.18,0.77,N
35.97798,-83.95724,304.88,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,292.15,1.02,N
35.70873,-84.35938,321.73,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,293.27,2.14,N
35.84548,-85.90742,328.82,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,294.06,2.5,N
35.93502,-86.37463,311.36,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,294.28,1.24,N
38.73199,-93.21994,314.43,0.54,0.51,2024-06-24,07:29,N21,nominal,2.0NRT,292.78,2.21,N
35.72774,-86.37656,320.95,0.39,0.36,2024-06-24,07:29,N21,nominal,2.0NRT,293.94,1.81,N
36.51874,-97.83883,314.39,0.47,0.64,2024-06-24,07:29,N21,nominal,2.0NRT,291.84,4.13,N
29.75483,-93.87799,309.92,0.46,0.47,2024-06-24,07:31,N21,nominal,2.0NRT,294.13,1.91,N
32.82499,-81.83122,306.61,0.48,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,293.77,0.57,N
33.23535,-86.94994,302.57,0.39,0.36,2024-06-24,07:31,N21,nominal,2.0NRT,279.25,1.23,N
34.20377,-97.10234,305.8,0.4,0.6,2024-06-24,07:31,N21,nominal,2.0NRT,294.21,1.63,N
34.011,-95.02893,308,0.61,0.53,2024-06-24,07:31,N21,nominal,2.0NRT,292.07,2.07,N
32.33573,-84.94203,306.85,0.39,0.36,2024-06-24,07:31,N21,nominal,2.0NRT,292.45,1.16,N
32.17875,-85.02625,310.59,0.39,0.36,2024-06-24,07:31,N21,nominal,2.0NRT,296.51,1.28,N
31.55588,-82.26375,306.32,0.48,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,293.4,0.99,N
32.31458,-90.13403,321.96,0.48,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,293.06,3.31,N
32.3144,-90.13609,328.14,0.48,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,293.22,2.79,N
32.28186,-90.35374,303.78,0.49,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,291.86,0.8,N
32.48083,-92.15338,310.17,0.4,0.44,2024-06-24,07:31,N21,nominal,2.0NRT,294.39,1.73,N
32.67739,-96.72816,307.08,0.37,0.58,2024-06-24,07:31,N21,nominal,2.0NRT,293.45,1.06,N
32.27451,-92.72938,309.79,0.43,0.46,2024-06-24,07:31,N21,nominal,2.0NRT,295.1,1.69,N
32.45712,-95.80425,317.64,0.32,0.55,2024-06-24,07:31,N21,nominal,2.0NRT,293.04,1.51,N
32.45746,-95.80226,314.35,0.32,0.55,2024-06-24,07:31,N21,nominal,2.0NRT,293.38,1.3,N
32.4601,-97.03822,305.39,0.38,0.59,2024-06-24,07:31,N21,nominal,2.0NRT,294.72,2.01,N
32.45495,-97.04283,310.86,0.38,0.59,2024-06-24,07:31,N21,nominal,2.0NRT,294.42,1.82,N
32.45467,-97.03865,305.78,0.38,0.59,2024-06-24,07:31,N21,nominal,2.0NRT,295.09,2.07,N
32.45826,-97.04182,304.4,0.38,0.59,2024-06-24,07:31,N21,nominal,2.0NRT,294.19,2.45,N
32.45796,-97.03769,315.68,0.38,0.59,2024-06-24,07:31,N21,nominal,2.0NRT,296.16,3.22,N
32.56006,-101.31229,303.95,0.69,0.75,2024-06-24,07:31,N21,nominal,2.0NRT,292.54,1.52,N
32.47456,-101.6454,308.28,0.73,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,293.01,3.28,N
32.47567,-101.64885,322.05,0.73,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,293.72,3.36,N
32.24411,-97.55151,317.62,0.41,0.61,2024-06-24,07:31,N21,nominal,2.0NRT,295.18,2.61,N
32.43624,-101.72099,330.05,0.73,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,292.53,9.79,N
32.43598,-101.71323,325.47,0.73,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,292.9,9.08,N
32.39061,-101.60747,323.01,0.72,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,293.55,5.44,N
32.38658,-101.70023,315.93,0.73,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,293.03,2.72,N
32.37574,-101.57748,352.68,0.72,0.75,2024-06-24,07:31,N21,nominal,2.0NRT,294.41,12.34,N
32.37353,-101.50858,308.08,0.71,0.75,2024-06-24,07:31,N21,nominal,2.0NRT,292.8,1.36,N
32.37705,-101.84912,320.36,0.75,0.77,2024-06-24,07:31,N21,nominal,2.0NRT,292.2,3.7,N
31.15485,-87.97897,307.14,0.4,0.37,2024-06-24,07:31,N21,nominal,2.0NRT,295.32,1.46,N
31.14938,-87.98851,326.9,0.4,0.37,2024-06-24,07:31,N21,nominal,2.0NRT,296.03,3.29,N
31.14878,-87.98439,307.72,0.4,0.37,2024-06-24,07:31,N21,nominal,2.0NRT,295.34,1.22,N
32.39093,-101.60638,313.46,0.72,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,293.22,4.56,N
32.38742,-101.69897,317.11,0.73,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,293.1,3.3,N
32.37589,-101.57637,345.61,0.72,0.75,2024-06-24,07:31,N21,nominal,2.0NRT,294.34,12.48,N
32.37329,-101.50758,306.16,0.71,0.75,2024-06-24,07:31,N21,nominal,2.0NRT,292.65,1.02,N
32.3717,-101.84789,319.76,0.75,0.77,2024-06-24,07:31,N21,nominal,2.0NRT,292.47,3.72,N
32.36024,-101.92612,306.42,0.75,0.77,2024-06-24,07:31,N21,nominal,2.0NRT,292.45,1.29,N
32.32144,-101.81834,353.15,0.74,0.76,2024-06-24,07:31,N21,nominal,2.0NRT,293.68,17.47,N
31.52555,-91.24553,312.75,0.52,0.42,2024-06-24,07:31,N21,nominal,2.0NRT,294.65,1.54,N
32.30909,-101.87257,307.88,0.75,0.77,2024-06-24,07:31,N21,nominal,2.0NRT,293.04,2.19,N
31.31666,-90.00925,305.01,0.46,0.39,2024-06-24,07:31,N21,nominal,2.0NRT,294.87,0.72,N
32.23158,-102.26321,315,0.79,0.78,2024-06-24,07:31,N21,nominal,2.0NRT,292.43,4.33,N
30.94436,-88.01017,310.96,0.4,0.37,2024-06-24,07:31,N21,nominal,2.0NRT,294.49,2.18,N
30.94233,-88.01427,324.78,0.4,0.37,2024-06-24,07:31,N21,nominal,2.0NRT,294.99,4.23,N
30.939,-88.01492,335.53,0.4,0.37,2024-06-24,07:31,N21,nominal,2.0NRT,295.02,4.23,N
32.051,-100.68549,305.72,0.63,0.72,2024-06-24,07:31,N21,nominal,2.0NRT,293.18,1.35,N
32.0462,-100.68578,307.87,0.63,0.72,2024-06-24,07:31,N21,nominal,2.0NRT,293.23,1.37,N
31.7073,-97.59219,306.18,0.41,0.6,2024-06-24,07:31,N21,nominal,2.0NRT,295.06,1.14,N
31.3531,-96.17073,330.62,0.33,0.55,2024-06-24,07:31,N21,nominal,2.0NRT,294.24,4.04,N
31.26446,-95.9465,313.78,0.32,0.55,2024-06-24,07:31,N21,nominal,2.0NRT,293.42,1.17,N
30.34111,-88.48776,311.8,0.4,0.37,2024-06-24,07:31,N21,nominal,2.0NRT,297.56,4.93,N
30.78602,-92.46046,306.53,0.4,0.44,2024-06-24,07:31,N21,nominal,2.0NRT,294.72,0.88,N
30.78556,-92.4563,305.3,0.4,0.44,2024-06-24,07:31,N21,nominal,2.0NRT,294.76,0.88,N
30.74719,-92.25539,311.64,0.39,0.44,2024-06-24,07:31,N21,nominal,2.0NRT,294.99,1.9,N
30.58502,-91.24341,318.19,0.51,0.41,2024-06-24,07:31,N21,nominal,2.0NRT,295.28,2.44,N
31.35454,-102.11015,303.87,0.76,0.77,2024-06-24,07:31,N21,nominal,2.0NRT,292.94,1.36,N
30.41963,-90.60586,310.49,0.48,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,293.37,1.45,N
30.48458,-91.18073,310.82,0.51,0.41,2024-06-24,07:31,N21,nominal,2.0NRT,296.9,2.92,N
30.32662,-91.24086,307.94,0.51,0.41,2024-06-24,07:31,N21,nominal,2.0NRT,295.28,1.75,N
30.3273,-91.27835,309.15,0.51,0.41,2024-06-24,07:31,N21,nominal,2.0NRT,294.11,2.06,N
30.32223,-91.2362,308.62,0.51,0.41,2024-06-24,07:31,N21,nominal,2.0NRT,294.97,1.75,N
30.18813,-90.99092,308.02,0.49,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,294.1,2.67,N
30.06073,-90.5981,307.91,0.47,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,295.43,2.06,N
30.05489,-90.66878,311.24,0.48,0.4,2024-06-24,07:31,N21,nominal,2.0NRT,293.8,2.2,N
29.99884,-90.40221,311.2,0.46,0.39,2024-06-24,07:31,N21,nominal,2.0NRT,295.67,3.85,N
