latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.43048,-72.74695,301.22,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,290.15,0.39,N
45.27744,-66.01573,300.73,0.42,0.45,2024-08-02,06:57,N21,nominal,2.0NRT,290.01,2.08,N
45.04856,-90.04324,308.4,0.54,0.68,2024-08-02,06:57,N21,nominal,2.0NRT,284.26,1.82,N
45.30365,-74.99503,309.08,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,292.19,0.76,N
45.11171,-73.01097,312.75,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,293.19,1.39,N
46.72933,-92.08091,315.7,0.68,0.74,2024-08-02,06:57,N21,nominal,2.0NRT,290.74,3.76,N
45.34021,-73.5248,309.78,0.38,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,293.73,1.24,N
45.64212,-73.52225,306.88,0.38,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,295.4,1.3,N
45.78295,-73.91344,310.38,0.38,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,291.13,0.88,N
45.82049,-73.2648,304.29,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,293.58,0.73,N
45.83517,-73.24968,303.58,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,292.93,0.75,N
45.83596,-73.25455,305.25,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,292.4,0.75,N
45.83843,-73.2486,306.46,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,294.21,1.55,N
45.62011,-71.60266,301.32,0.4,0.37,2024-08-02,06:57,N21,nominal,2.0NRT,290.45,0.9,N
46.04097,-73.14144,308.81,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,292.53,2.09,N
46.04176,-73.14632,304.73,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,292.62,1.63,N
46.04422,-73.14034,332.23,0.39,0.36,2024-08-02,06:57,N21,nominal,2.0NRT,294.38,2.09,N
33.08949,-80.3448,309.71,0.41,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,294.64,0.84,N
33.12056,-80.19022,307.68,0.41,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,293.96,0.76,N
40.73,-75.30274,303.65,0.38,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,286.41,0.96,N
40.47865,-74.31938,307.54,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,293.56,0.74,N
40.61858,-75.31552,296.15,0.38,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,276.46,0.2,N
40.89287,-77.70834,326.62,0.4,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,290.48,2.41,N
41.56811,-84.04329,321.47,0.49,0.49,2024-08-02,06:59,N21,nominal,2.0NRT,289.32,3.37,N
41.56903,-84.05517,306.41,0.49,0.49,2024-08-02,06:59,N21,nominal,2.0NRT,289.05,2.27,N
41.56857,-84.04922,306.23,0.49,0.49,2024-08-02,06:59,N21,nominal,2.0NRT,289.63,2.27,N
41.56583,-84.04456,331.12,0.49,0.49,2024-08-02,06:59,N21,nominal,2.0NRT,289.68,5.49,N
40.23858,-74.12029,308.3,0.4,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,292.19,0.54,N
41.64471,-87.1398,319.89,0.36,0.57,2024-08-02,06:59,N21,nominal,2.0NRT,287.75,2.83,N
41.63919,-87.13581,341.73,0.36,0.57,2024-08-02,06:59,N21,nominal,2.0NRT,289.91,4.29,N
41.63967,-87.14455,313.03,0.36,0.57,2024-08-02,06:59,N21,nominal,2.0NRT,287.67,2.83,N
41.63942,-87.14017,319.73,0.36,0.57,2024-08-02,06:59,N21,nominal,2.0NRT,288.74,2.83,N
41.63895,-87.13148,315.44,0.36,0.57,2024-08-02,06:59,N21,nominal,2.0NRT,288.03,4.29,N
41.63367,-87.13192,305.41,0.36,0.57,2024-08-02,06:59,N21,nominal,2.0NRT,288.07,1.13,N
41.62381,-87.14593,307.1,0.36,0.57,2024-08-02,06:59,N21,nominal,2.0NRT,288.74,0.97,N
41.6308,-87.3793,314.32,0.37,0.58,2024-08-02,06:59,N21,nominal,2.0NRT,287.86,2.91,N
41.63034,-87.37042,310.83,0.37,0.58,2024-08-02,06:59,N21,nominal,2.0NRT,288.74,3.64,N
41.63011,-87.366,313.78,0.37,0.58,2024-08-02,06:59,N21,nominal,2.0NRT,288.79,2.2,N
41.62476,-87.36639,312.89,0.37,0.58,2024-08-02,06:59,N21,nominal,2.0NRT,287.91,1.68,N
40.15271,-74.76868,328.76,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,293.77,3.16,N
40.13828,-74.80569,308.26,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,293.22,1.12,N
40.02374,-74.25046,304.97,0.4,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,292.57,0.53,N
40.07069,-74.7706,304.16,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,292.21,0.38,N
41.11715,-85.35103,298.3,0.57,0.52,2024-08-02,06:59,N21,nominal,2.0NRT,272.81,1.62,N
39.96318,-76.59465,307.35,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,282.53,0.9,N
39.4214,-74.54293,310.28,0.39,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,292.88,0.94,N
40.73184,-86.43407,306.67,0.32,0.55,2024-08-02,06:59,N21,nominal,2.0NRT,282.62,1.32,N
39.79757,-77.80315,300.14,0.4,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,284.36,0.71,N
40.63735,-89.63766,303.7,0.48,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,287.29,1,N
39.97557,-86.83833,320.09,0.33,0.56,2024-08-02,06:59,N21,nominal,2.0NRT,286.98,2.74,N
39.08062,-79.6903,308.61,0.44,0.39,2024-08-02,06:59,N21,nominal,2.0NRT,289.15,0.99,N
38.77885,-79.39467,308.78,0.43,0.38,2024-08-02,06:59,N21,nominal,2.0NRT,289.63,1.25,N
38.18548,-77.02238,321.12,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,291.88,2.49,N
38.99773,-87.72631,309.13,0.37,0.58,2024-08-02,06:59,N21,nominal,2.0NRT,290.53,1.83,N
38.83794,-90.06806,304.15,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,290.98,1.76,N
38.83774,-90.06236,305.45,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,290.85,1.76,N
38.83561,-90.06639,307.35,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,291.23,4.03,N
37.53785,-76.80754,309.77,0.38,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,291.8,1.63,N
38.82153,-90.01585,303.85,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,289.75,0.52,N
38.69736,-90.13222,311.25,0.5,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,291.66,3.01,N
37.2925,-77.47696,305.29,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,284.29,0.59,N
37.66296,-81.70045,329.77,0.51,0.41,2024-08-02,06:59,N21,nominal,2.0NRT,288.12,2.95,N
37.66359,-81.70599,301.52,0.51,0.41,2024-08-02,06:59,N21,nominal,2.0NRT,287.76,2.95,N
38.18181,-90.33887,304.58,0.5,0.66,2024-08-02,06:59,N21,nominal,2.0NRT,292.63,1.42,N
38.00701,-90.08411,310.27,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,292.04,2.49,N
38.01032,-90.08501,305.11,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,291.77,1.5,N
38.01008,-90.07948,304.09,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,291.74,1.5,N
37.96813,-90.08128,304.43,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,292.22,1.91,N
37.9679,-90.07586,305.1,0.49,0.65,2024-08-02,06:59,N21,nominal,2.0NRT,292.2,1.65,N
36.81485,-78.20975,304.75,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,280.76,0.74,N
36.35548,-76.8047,304.08,0.38,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,279.11,0.78,N
36.82003,-81.64278,297.41,0.5,0.41,2024-08-02,06:59,N21,nominal,2.0NRT,282.13,0.4,N
37.26873,-86.98862,304.1,0.32,0.55,2024-08-02,06:59,N21,nominal,2.0NRT,291.24,1.11,N
37.26848,-86.98505,314.01,0.32,0.55,2024-08-02,06:59,N21,nominal,2.0NRT,291.06,1.11,N
30.19588,-81.92211,313.71,0.44,0.38,2024-08-02,06:59,N21,nominal,2.0NRT,292.45,1.5,N
30.93789,-88.01474,312.75,0.63,0.54,2024-08-02,06:59,N21,nominal,2.0NRT,293.54,2.7,N
30.94235,-88.00758,309.95,0.63,0.54,2024-08-02,06:59,N21,nominal,2.0NRT,293.29,3.17,N
30.94289,-88.01418,315.37,0.63,0.54,2024-08-02,06:59,N21,nominal,2.0NRT,293.59,3.17,N
31.14838,-87.98929,322.22,0.63,0.54,2024-08-02,06:59,N21,nominal,2.0NRT,294.06,5.21,N
31.83433,-88.70098,306.74,0.36,0.57,2024-08-02,06:59,N21,nominal,2.0NRT,294.24,0.96,N
32.3152,-90.13628,310.79,0.44,0.62,2024-08-02,06:59,N21,nominal,2.0NRT,294.3,1.32,N
31.75343,-81.60295,313.46,0.44,0.39,2024-08-02,06:59,N21,nominal,2.0NRT,293.71,1.67,N
32.68463,-89.58894,306.76,0.41,0.61,2024-08-02,06:59,N21,nominal,2.0NRT,292.31,1.52,N
32.71301,-87.81852,305.58,0.32,0.55,2024-08-02,06:59,N21,nominal,2.0NRT,294.41,0.67,N
32.71257,-87.81838,306.93,0.32,0.55,2024-08-02,06:59,N21,nominal,2.0NRT,294.45,0.49,N
32.22913,-82.51089,315.43,0.49,0.4,2024-08-02,06:59,N21,nominal,2.0NRT,293.58,1.57,N
32.27481,-82.66777,308.32,0.5,0.41,2024-08-02,06:59,N21,nominal,2.0NRT,292.31,2.08,N
33.09106,-86.80615,317.31,0.57,0.52,2024-08-02,06:59,N21,nominal,2.0NRT,295.78,3.91,N
33.1048,-86.79836,306.19,0.57,0.52,2024-08-02,06:59,N21,nominal,2.0NRT,295.59,2.97,N
33.22902,-87.51234,317.84,0.63,0.54,2024-08-02,06:59,N21,nominal,2.0NRT,295.17,3.85,N
33.22994,-87.5103,317.59,0.63,0.54,2024-08-02,06:59,N21,nominal,2.0NRT,295.16,4.11,N
33.23491,-87.5098,321.75,0.63,0.54,2024-08-02,06:59,N21,nominal,2.0NRT,296.25,4.11,N
33.17903,-86.75641,313.94,0.56,0.52,2024-08-02,06:59,N21,nominal,2.0NRT,295.21,2.69,N
33.22223,-86.81261,307.32,0.57,0.52,2024-08-02,06:59,N21,nominal,2.0NRT,295.1,2.48,N
33.53228,-86.75928,315.61,0.57,0.52,2024-08-02,06:59,N21,nominal,2.0NRT,295.75,3.53,N
33.54604,-86.80772,310.52,0.57,0.52,2024-08-02,06:59,N21,nominal,2.0NRT,295.7,4.08,N
34.06556,-93.83506,309.57,0.75,0.77,2024-08-02,06:59,N21,nominal,2.0NRT,288.44,5.48,N
34.06579,-93.84342,313.01,0.75,0.77,2024-08-02,06:59,N21,nominal,2.0NRT,289.01,6.73,N
34.06302,-93.83579,312.04,0.75,0.77,2024-08-02,06:59,N21,nominal,2.0NRT,288.13,4.09,N
34.06322,-93.84425,310.44,0.75,0.77,2024-08-02,06:59,N21,nominal,2.0NRT,288.99,4.09,N
33.00607,-79.87875,311.26,0.4,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,294.92,1.67,N
33.00729,-79.88731,307.21,0.4,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,294.61,0.74,N
33.01401,-79.88597,334.49,0.4,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,294.63,3.96,N
34.12927,-84.03261,305.51,0.41,0.45,2024-08-02,06:59,N21,nominal,2.0NRT,291.72,0.47,N
42.49585,-73.8162,310.29,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,292.83,1.16,N
42.04869,-73.97698,306.87,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,291.77,0.72,N
40.77285,-73.43812,305.45,0.41,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,292.65,0.68,N
40.65237,-74.10981,308.09,0.39,0.37,2024-08-02,06:59,N21,nominal,2.0NRT,293.85,0.97,N
40.63753,-74.22189,311.62,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,296.43,3.03,N
40.63676,-74.21731,313.04,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,294.9,2.54,N
40.59087,-74.21153,306.18,0.39,0.36,2024-08-02,06:59,N21,nominal,2.0NRT,293.31,1.15,N
