latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.82115,-73.26768,313.53,0.41,0.37,2024-06-05,06:42,N21,nominal,2.0NRT,291.25,1.65,N
45.78146,-73.91129,304.02,0.43,0.38,2024-06-05,06:42,N21,nominal,2.0NRT,286.27,1,N
46.36938,-72.38721,299.59,0.4,0.37,2024-06-05,06:42,N21,nominal,2.0NRT,288.67,0.7,N
46.04347,-73.14439,309.32,0.41,0.37,2024-06-05,06:42,N21,nominal,2.0NRT,289.85,1.22,N
46.04277,-73.13911,318.98,0.41,0.37,2024-06-05,06:42,N21,nominal,2.0NRT,290.95,1.58,N
45.27965,-66.01208,300.42,0.47,0.4,2024-06-05,06:42,N21,nominal,2.0NRT,287.57,1.77,N
48.1884,-64.92008,306.75,0.46,0.39,2024-06-05,06:42,N21,nominal,2.0NRT,283.92,1.36,N
46.04009,-73.14529,301.47,0.41,0.37,2024-06-05,06:42,N21,nominal,2.0NRT,289.37,1.22,N
45.81859,-72.37402,300.14,0.4,0.37,2024-06-05,06:42,N21,nominal,2.0NRT,286.28,0.2,N
45.61893,-71.60543,303.27,0.39,0.36,2024-06-05,06:42,N21,nominal,2.0NRT,286.6,0.86,N
46.57583,-80.79111,304.09,0.56,0.51,2024-06-05,06:42,N21,nominal,2.0NRT,284.98,1.53,N
46.36675,-72.3933,310.69,0.4,0.37,2024-06-05,06:42,N21,nominal,2.0NRT,287.95,0.7,N
43.26712,-79.80208,296.25,0.46,0.47,2024-06-05,06:44,N21,nominal,2.0NRT,281.36,0.72,N
43.26324,-79.80842,324.94,0.46,0.47,2024-06-05,06:44,N21,nominal,2.0NRT,282.31,4.97,N
42.91976,-76.83761,301.79,0.5,0.41,2024-06-05,06:44,N21,nominal,2.0NRT,288.25,0.39,N
42.13253,-85.61219,301.38,0.45,0.63,2024-06-05,06:44,N21,nominal,2.0NRT,285.86,0.86,N
41.09272,-74.67977,298.27,0.41,0.37,2024-06-05,06:44,N21,nominal,2.0NRT,288.03,0.63,N
40.85805,-75.26138,302.55,0.42,0.38,2024-06-05,06:44,N21,nominal,2.0NRT,284.09,0.41,N
41.46235,-81.67547,322.76,0.55,0.51,2024-06-05,06:44,N21,nominal,2.0NRT,268.48,3.48,N
40.73023,-75.30343,300.76,0.42,0.38,2024-06-05,06:44,N21,nominal,2.0NRT,289.81,0.54,N
40.71525,-75.39595,307.75,0.43,0.38,2024-06-05,06:44,N21,nominal,2.0NRT,289.78,1.38,N
41.37105,-84.92531,304.89,0.41,0.6,2024-06-05,06:44,N21,nominal,2.0NRT,288.03,1.27,N
41.37063,-84.91554,307.24,0.41,0.6,2024-06-05,06:44,N21,nominal,2.0NRT,287.53,2.38,N
40.36256,-75.9392,301.04,0.44,0.38,2024-06-05,06:44,N21,nominal,2.0NRT,288.39,0.48,N
40.75431,-81.43505,320.41,0.52,0.5,2024-06-05,06:44,N21,nominal,2.0NRT,268.23,1.89,N
40.75479,-81.44128,297.47,0.52,0.5,2024-06-05,06:44,N21,nominal,2.0NRT,267.35,1.89,N
40.17357,-75.89771,306.89,0.44,0.38,2024-06-05,06:44,N21,nominal,2.0NRT,286.86,0.92,N
